0,abstract,moon,art,no person,astronomy,eclipse,bird,sky,pattern,people,desktop,illustration,background,wallpaper,light,Luna,vector,crescent,dark,design,
1,people,adult,man,one,portrait,wear,two,indoors,music,religion,group,room,museum,outfit,leader,chair,home,administration,three,veil,
2,people,adult,one,man,portrait,indoors,wear,room,music,two,administration,museum,outfit,home,leader,chair,business,musician,religion,
3,people,man,adult,one,portrait,indoors,wear,music,two,room,museum,outfit,chair,group,administration,
4,people,man,adult,one,indoors,portrait,wear,music,room,museum,two,chair,outfit,group,religion,home,
5,people,adult,man,one,portrait,indoors,wear,music,room,museum,two,chair,religion,outfit,administration,home,leader,furniture,
6,people,one,portrait,adult,man,wear,menswear,veil,outfit,indoors,dinner jacket,music,musician,room,writer,administration,museum,facial expression,
7,people,one,adult,portrait,man,wear,indoors,outfit,veil,room,menswear,musician,music,book series,facial expression,writer,facial hair,administration,outerwear,museum,
8,people,one,adult,portrait,man,wear,indoors,room,outfit,music,musician,facial expression,business,menswear,singer,
9,people,adult,man,group,room,wear,leader,woman,indoors,chair,recreation,two,museum,portrait,administration,outfit,meeting,religion,commerce,home,
10,people,adult,group,man,leader,woman,room,wear,chair,commerce,several,meeting,recreation,administration,home,indoors,two,religion,portrait,many,
11,people,adult,group,man,wear,room,woman,portrait,indoors,leader,chair,museum,recreation,two,meeting,home,administration,music,outfit,religion,
12,people,adult,group,man,woman,wear,leader,room,portrait,chair,indoors,candle,recreation,museum,two,meeting,administration,religion,music,outfit,
13,people,adult,portrait,one,room,man,wear,woman,musician,performance,singer,two,museum,music,indoors,stage,recreation,theater,movie,furniture,
14,people,adult,portrait,man,wear,one,two,woman,performance,musician,recreation,music,museum,room,group,administration,religion,leader,indoors,singer,
15,people,one,adult,man,wear,recreation,religion,two,indoors,portrait,room,outfit,festival,offense,woman,group,blur,business,administration,music,
16,no person,people,art,wear,vintage,indoors,wedding,one,decoration,light,texture,blur,flower,
17,people,wedding,no person,wear,woman,love,bride,flower,veil,blur,one,art,indoors,man,fashion,ceremony,
18,no person,blur,people,one,flower,woman,wear,art,fashion,girl,light,adult,indoors,nude,dark,love,shadow,portrait,abstract,color,
19,portrait,people,adult,one,man,side view,profile,face,light,model,blur,shadow,wear,veil,dark,indoors,studio,religion,girl,concentration,
20,portrait,people,one,adult,man,side view,wear,indoors,model,light,profile,face,shadow,girl,facial expression,woman,blur,eyewear,dark,music,
21,portrait,people,man,adult,one,facial hair,mustache,wear,face,facial expression,music,light,side view,festival,
22,portrait,people,adult,one,man,facial hair,wear,light,mustache,side view,music,spotlight,festival,facial expression,indoors,menswear,
23,people,portrait,one,adult,man,wear,outfit,administration,music,indoors,leader,light,offense,profile,side view,
24,people,one,adult,man,portrait,outfit,wear,indoors,leader,administration,two,room,veil,furniture,menswear,music,musician,chair,side view,sit,
25,one,people,adult,indoors,man,wear,portrait,room,outfit,furniture,veil,book series,home,menswear,sit,music,musician,chair,administration,dinner jacket,
26,people,one,adult,portrait,man,indoors,outfit,room,wear,home,administration,veil,musician,offense,music,education,leader,museum,law,chair,
27,people,adult,one,portrait,man,indoors,light,blur,room,music,wear,museum,flame,religion,candle,woman,performance,festival,musician,offense,
28,people,one,adult,room,wear,man,portrait,furniture,offense,music,light,indoors,museum,religion,side view,candle,recreation,two,home,group,
29,portrait,people,one,adult,man,leader,spotlight,profile,light,politician,wear,side view,facial expression,administration,music,business,outfit,election,confidence,
30,people,portrait,one,adult,man,facial expression,wear,music,light,face,profile,singer,musician,leader,side view,optimism,indoors,
31,people,portrait,one,adult,man,music,facial expression,wear,light,festival,musician,spotlight,singer,administration,leader,optimism,indoors,politician,business,outfit,
32,people,adult,man,portrait,one,two,light,wear,woman,music,stage,religion,museum,indoors,performance,group,festival,theatre,leader,room,
33,people,adult,man,portrait,one,two,wear,light,indoors,music,museum,stage,religion,woman,group,performance,business,leader,room,administration,
34,people,adult,man,portrait,light,one,music,religion,wear,two,museum,stage,performance,group,indoors,festival,candle,theatre,leader,business,
35,people,portrait,one,adult,man,light,dark,face,music,shadow,side view,concert,
36,people,adult,portrait,one,man,blur,wear,side view,light,lid,landscape,music,outfit,veil,profile,indoors,business,recreation,festival,museum,
37,people,lid,portrait,adult,one,veil,wear,man,side view,light,woman,music,indoors,religion,blur,cap,child,boy,outfit,facial expression,
38,lid,people,portrait,adult,one,veil,man,wear,side view,cap,light,music,festival,religion,outfit,boy,musician,facial expression,blur,indoors,
39,people,man,adult,blur,light,portrait,woman,indoors,religion,music,stage,one,wear,performance,two,wedding,candle,business,festival,
40,people,adult,man,religion,candle,light,stage,flame,portrait,one,performance,two,museum,music,woman,festival,wear,room,blur,group,
41,people,portrait,one,adult,man,light,side view,shadow,music,wear,face,profile,athlete,boy,dark,woman,art,model,
42,people,portrait,one,adult,man,wear,outfit,outerwear,menswear,administration,music,indoors,leader,facial expression,side view,facial hair,light,jacket,tie,movie,
43,people,portrait,one,adult,man,wear,outfit,administration,outerwear,menswear,music,indoors,facial expression,light,leader,side view,musician,facial hair,fashion,
44,people,one,adult,man,portrait,wear,music,side view,leader,light,outfit,administration,indoors,religion,facial hair,musician,singer,festival,
45,people,light,flame,evening,woman,dark,girl,silhouette,sunset,adult,shadow,motion,man,blur,candle,beach,backlit,child,portrait,religion,
46,people,adult,man,portrait,religion,two,group,music,interaction,one,wear,musician,festival,three,woman,battle,child,concert,recreation,facial expression,
47,people,adult,portrait,music,interaction,man,musician,group,two,woman,facial expression,wear,offense,one,singer,administration,religion,battle,festival,concert,
48,people,portrait,adult,music,man,two,woman,one,interaction,musician,child,girl,group,family,facial expression,wear,administration,singer,religion,concert,
49,people,portrait,adult,man,two,one,music,woman,child,interaction,room,indoors,facial expression,wear,group,girl,family,musician,religion,three,
50,people,portrait,adult,man,two,music,one,facial expression,child,wear,indoors,woman,interaction,room,musician,girl,battle,offense,religion,administration,
51,people,adult,portrait,man,music,one,two,indoors,woman,room,musician,facial expression,wear,group,child,offense,interaction,family,three,religion,
52,people,adult,one,religion,candle,portrait,man,church,light,wear,two,leader,home,indoors,candlelight,administration,museum,side view,outfit,room,
53,people,one,portrait,man,adult,wear,side view,light,music,athlete,facial expression,facial hair,religion,
54,people,portrait,one,adult,man,side view,wear,profile,light,indoors,facial expression,blur,music,outfit,leader,
55,people,adult,man,wear,religion,one,outfit,leader,group,portrait,recreation,two,music,administration,facial expression,offense,musician,candle,veil,performance,
56,people,adult,group,man,religion,bar,woman,indoors,room,candle,wear,two,restaurant,several,one,recreation,music,furniture,many,commerce,
57,people,furniture,room,table,seat,adult,indoors,chair,candle,tableware,bar,container,group,one,restaurant,home,place setting,interior design,drink,light,
58,people,adult,one,portrait,man,side view,indoors,room,wear,profile,outfit,business,music,blur,facial expression,light,concentration,two,home,administration,
59,people,adult,one,portrait,woman,administration,side view,man,wear,two,indoors,music,room,home,religion,interaction,leader,profile,group,facial expression,
60,people,one,adult,music,light,portrait,indoors,performance,man,musician,concert,woman,singer,food,flame,room,stage,festival,wear,religion,
61,people,adult,woman,museum,religion,man,wedding,girl,indoors,room,one,group,street,portrait,two,church,light,city,model,child,
62,people,adult,woman,room,one,museum,indoors,man,girl,two,furniture,religion,portrait,group,music,model,recreation,nude,seat,city,
63,people,adult,one,woman,portrait,room,two,man,museum,group,girl,music,indoors,nude,seat,furniture,city,home,light,street,
64,people,adult,one,woman,room,indoors,museum,girl,religion,nude,healthcare,light,furniture,offense,group,man,portrait,city,two,seat,
65,people,adult,one,portrait,room,building,light,musician,music,singer,performance,landscape,man,concert,blur,city,festival,stage,administration,indoors,
66,people,one,adult,religion,bed,room,indoors,man,portrait,reclining,bedroom,furniture,two,offense,woman,light,family,ailment,side view,medical practitioner,
67,no person,light,museum,indoors,architecture,building,people,travel,room,city,urban,business,window,home,step,bedrock,daylight,wood,lamp,university,
68,no person,light,indoors,building,architecture,room,museum,city,home,travel,business,window,hospital,family,urban,people,offense,daylight,hallway,bedrock,
69,no person,indoors,room,step,light,building,museum,people,daylight,wood,architecture,city,home,furniture,one,travel,blur,business,house,window,
70,people,one,adult,woman,no person,indoors,religion,man,wear,art,sculpture,mammal,nude,painting,daylight,child,blur,music,reclining,two,
